comment_id,author,text,published_at,like_count
UgyQWq94gV2nc6JZ5Cl4AaABAg,@Arutoranumber7,"1:19:23 
""Awewewek""
😂😂😂

Tapi dari keseluruhan tanya jawab ini saya jadi mengerti bahwa....",2025-04-28T00:21:59Z,0
UgwWMUKJGu9a9NSNsqF4AaABAg,@wiroutomo4284,"Korupsi dengan cara mempersulit pengurusan tanah seperti di desa Damarsi, kec Buduran, kab  Sidoarjo . Ada mafia tanah dengan cara membuat perdes perdes yg merampas tanah gogol , undang undang yg diterapkan adalah undang undang kolonial belanda , jadi rakyat dipersulit oles Kades dan BPD dengan cara membuat perdes yg berlawanan dengan Land reform yg sdh reform beberapa kali.
Jadi sawah gogol rakyat dipersulit mendaftar saja ke BPN. Tolong bantu aparat yg berwajib untuk menindak lanjuti
Terima kasih",2025-04-28T00:12:55Z,1
UgwE8fI1EBhpAYjDzu54AaABAg,@Ludialolopayung-oc2tg,"Tuhan melindungi Bapak Presiden Bapak Prabowo, menjagai, melindungi dlm segala kepemimpinanya",2025-04-27T23:36:04Z,0
UgxlPP_OeNIc-VdqjdF4AaABAg,@ElangSamudra-mj2fw,Online sih iya tp apa artinya kl tdk ada pengawasan msh saja di permainkan org dlm pak ujung ujungnya sogokan,2025-04-27T20:22:16Z,0
Ugyz-5ruVsf0cXvnz554AaABAg,@video.sembilan,"Kapan eksklusif sama wakilnya saja ""Gibran"" pingin tahu pengalamannya selama jadi wakil presiden",2025-04-27T19:57:00Z,0
UgwPB1ubyo0c_EpA6dd4AaABAg,@aziznurulhajji4684,"terkendali nd4smu, semongko 50ewu, minyak goreng 2 liter 40an ribu, beras 5 kilo 75 rb, ngomong seng a?",2025-04-27T19:19:29Z,0
Ugyl0yYsOi8fzLik4VZ4AaABAg,@akbarnfp5828,mega wati terlalu bnyak menjual aset negara,2025-04-27T17:32:47Z,0
UgxqSXVHmdBAKUVs7x54AaABAg,@kvinn6321,"Yang komen ngejelekin Prabowo, pasti nonton nya ngk smpe selesai😂",2025-04-27T17:28:00Z,0
UgywL3JrKLs2F5Gakg94AaABAg,@SuciAnisa-c9e,Setiap kata yg keluar dari bapak saya istigfar😊,2025-04-27T17:04:28Z,0
UgynidIm0UxqEVd7bgl4AaABAg,@bangdodo-lq1uv,Sampai menit 49 belum nemu apa artinya ini dialog😢😢😢,2025-04-27T16:06:43Z,0
